status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
.greater than 200;24;no credits taken/all credits paid back duly;vacation;937;unknown/no savings account;less than 1 yr;less than 20;female : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;27;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
.greater than 200;18;no credits taken/all credits paid back duly;car (used);3422;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;car or other;47;bank;rent;4.May;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;24;no credits taken/all credits paid back duly;furniture/equipment;3105;greater than 1000;less than 1 yr;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;25;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;repairs;2748;unknown/no savings account;greater than 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;real estate;57;bank;own;4.May;unskilled - resident;0 to 2;no;no;1
less than 0;18;no credits taken/all credits paid back duly;domestic appliances;3872;unknown/no savings account;unemployed;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;67;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;27;no credits taken/all credits paid back duly;domestic appliances;5190;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;car or other;48;none;rent;greater than 6;skilled employee/official;3 or more;yes (under customer name);no;1
less than 0;18;no credits taken/all credits paid back duly;car (used);3001;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;40;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;existing credits paid back duly till now;retraining;3863;unknown/no savings account;from 1 to 4 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;real estate;32;none;own;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;car (used);5801;greater than 1000;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;car or other;49;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);yes;1
.greater than 200;12;all credits at this bank paid back duly;car (used);1592;from 500 to 1000;from 4 to 7 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;car or other;35;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;retraining;1185;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;27;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;18;all credits at this bank paid back duly;car (used);3780;unknown/no savings account;less than 1 yr;from 25 to 20;male : divorced/separated;none;from 1 to 4 yrs;building soc. savings agr./life insurance;35;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
less than 0;18;all credits at this bank paid back duly;car (used);3612;unknown/no savings account;greater than 7 yrs;from 25 to 20;female : non-single or male : single;none;greater than 7 yrs;car or other;37;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);yes;1
.greater than 200;12;no credits taken/all credits paid back duly;retraining;1076;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : single;none;from 1 to 4 yrs;unknown / no property;26;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;12;no credits taken/all credits paid back duly;others;3527;greater than 1000;less than 1 yr;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;car or other;45;none;rent;1;manager/self-empl./highly qualif. employee;3 or more;yes (under customer name);no;1
.greater than 200;18;no credits taken/all credits paid back duly;furniture/equipment;2051;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;less than 1 yr;unknown / no property;33;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;car (used);3331;unknown/no savings account;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;car or other;42;stores;rent;1;skilled employee/official;0 to 2;no;no;1
no checking account;18;delay in paying off in the past;retraining;3104;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;less than 1 yr;car or other;31;bank;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;all credits at this bank paid back duly;furniture/equipment;2611;unknown/no savings account;greater than 7 yrs;less than 20;female : single;co-applicant;from 4 to 7 yrs;unknown / no property;46;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
no checking account;12;all credits at this bank paid back duly;car (new);1409;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;unknown / no property;54;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;no credits taken/all credits paid back duly;furniture/equipment;1311;less than 100;from 4 to 7 yrs;less than 20;female : single;none;from 4 to 7 yrs;car or other;26;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;6;no credits taken/all credits paid back duly;furniture/equipment;2108;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;female : single;none;from 1 to 4 yrs;unknown / no property;29;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;all credits at this bank paid back duly;car (new);4042;greater than 1000;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;car or other;43;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;12;all credits at this bank paid back duly;others;926;unknown/no savings account;unemployed;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;car or other;38;none;rent;1;unemployed/unskilled - non-resident;0 to 2;no;no;1
no checking account;12;no credits taken/all credits paid back duly;furniture/equipment;1680;from 100 to 500;greater than 7 yrs;from 25 to 20;female : single;none;less than 1 yr;unknown / no property;35;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;no credits taken/all credits paid back duly;others;1249;unknown/no savings account;less than 1 yr;less than 20;female : single;none;from 1 to 4 yrs;unknown / no property;28;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;all credits at this bank paid back duly;others;2463;less than 100;from 4 to 7 yrs;less than 20;female : single;none;from 4 to 7 yrs;car or other;27;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;6;no credits taken/all credits paid back duly;furniture/equipment;1595;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;car or other;51;none;rent;1;skilled employee/official;3 or more;no;no;1
.greater than 200;24;all credits at this bank paid back duly;domestic appliances;2058;unknown/no savings account;from 1 to 4 yrs;less than 20;male : divorced/separated;none;from 1 to 4 yrs;unknown / no property;33;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;no credits taken/all credits paid back duly;car (new);7814;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;38;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;6;all credits at this bank paid back duly;furniture/equipment;1740;unknown/no savings account;greater than 7 yrs;from 35 to 25;female : single;none;from 1 to 4 yrs;unknown / no property;30;none;for free;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;furniture/equipment;1240;greater than 1000;greater than 7 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;38;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;all credits at this bank paid back duly;car (new);6842;greater than 1000;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;car or other;46;none;rent;2.Mar;manager/self-empl./highly qualif. employee;3 or more;yes (under customer name);no;1
.greater than 200;24;all credits at this bank paid back duly;car (used);5150;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;33;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
no checking account;6;no credits taken/all credits paid back duly;others;1203;less than 100;greater than 7 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;car or other;43;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;6;all credits at this bank paid back duly;others;2080;from 100 to 500;from 1 to 4 yrs;greater than 35;female : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;24;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;no credits taken/all credits paid back duly;repairs;1538;unknown/no savings account;less than 1 yr;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;real estate;56;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;24;all credits at this bank paid back duly;others;3878;less than 100;less than 1 yr;less than 20;male : divorced/separated;none;from 1 to 4 yrs;building soc. savings agr./life insurance;37;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;30;no credits taken/all credits paid back duly;car (used);3832;unknown/no savings account;less than 1 yr;from 35 to 25;female : single;none;less than 1 yr;car or other;22;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;15;no credits taken/all credits paid back duly;others;3186;from 500 to 1000;from 4 to 7 yrs;from 35 to 25;female : non-single or male : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;20;none;for free;1;skilled employee/official;0 to 2;no;no;1
less than 0;24;no credits taken/all credits paid back duly;furniture/equipment;2896;less than 100;less than 1 yr;from 35 to 25;male : married/widowed;none;less than 1 yr;building soc. savings agr./life insurance;29;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;24;existing credits paid back duly till now;retraining;6967;less than 100;from 4 to 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;36;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;36;no credits taken/all credits paid back duly;repairs;1819;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;37;stores;own;1;skilled employee/official;0 to 2;yes (under customer name);no;0
.greater than 200;24;no credits taken/all credits paid back duly;furniture/equipment;5943;greater than 1000;less than 1 yr;greater than 35;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;44;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
.greater than 200;36;all credits at this bank paid back duly;car (used);7127;unknown/no savings account;less than 1 yr;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;car or other;23;none;for free;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;0
.greater than 200;36;no credits taken/all credits paid back duly;car (used);3349;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;28;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
.greater than 200;36;no credits taken/all credits paid back duly;car (used);10974;unknown/no savings account;unemployed;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;26;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
.greater than 200;6;no credits taken/all credits paid back duly;furniture/equipment;518;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;29;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;18;no credits taken/all credits paid back duly;furniture/equipment;1126;greater than 1000;less than 1 yr;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;21;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;12;all credits at this bank paid back duly;car (new);1860;unknown/no savings account;unemployed;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;34;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;36;all credits at this bank paid back duly;furniture/equipment;9566;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;31;stores;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
no checking account;12;no credits taken/all credits paid back duly;furniture/equipment;701;unknown/no savings account;from 1 to 4 yrs;less than 20;female : single;none;from 1 to 4 yrs;unknown / no property;40;none;rent;1;unskilled - resident;0 to 2;no;no;1
less than 0;12;no credits taken/all credits paid back duly;furniture/equipment;2930;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;female : non-single or male : single;none;less than 1 yr;unknown / no property;27;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;18;no credits taken/all credits paid back duly;furniture/equipment;1505;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;real estate;32;none;own;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;18;all credits at this bank paid back duly;furniture/equipment;2238;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;25;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;4;all credits at this bank paid back duly;furniture/equipment;1503;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;less than 1 yr;unknown / no property;42;none;rent;2.Mar;unskilled - resident;3 or more;no;no;1
.greater than 200;24;all credits at this bank paid back duly;car (new);2197;greater than 1000;from 4 to 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;43;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
from 0 to 200;12;no credits taken/all credits paid back duly;furniture/equipment;1881;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;44;none;for free;1;unskilled - resident;0 to 2;yes (under customer name);no;1
no checking account;18;all credits at this bank paid back duly;furniture/equipment;1880;unknown/no savings account;from 4 to 7 yrs;less than 20;female : single;none;less than 1 yr;car or other;32;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
no checking account;18;no credits taken/all credits paid back duly;furniture/equipment;2389;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;27;stores;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;24;no credits taken/all credits paid back duly;furniture/equipment;1967;unknown/no savings account;greater than 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;20;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;4;all credits at this bank paid back duly;others;3380;unknown/no savings account;from 4 to 7 yrs;greater than 35;female : non-single or male : single;none;less than 1 yr;unknown / no property;37;none;rent;1;skilled employee/official;3 or more;no;no;1
.greater than 200;4;all credits at this bank paid back duly;others;1455;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;less than 1 yr;unknown / no property;42;none;rent;4.May;unskilled - resident;3 or more;no;no;1
.greater than 200;7;all credits at this bank paid back duly;furniture/equipment;730;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;46;none;for free;2.Mar;unskilled - resident;0 to 2;yes (under customer name);no;1
less than 0;18;delay in paying off in the past;car (used);3244;unknown/no savings account;from 1 to 4 yrs;greater than 35;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;33;bank;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;9;no credits taken/all credits paid back duly;furniture/equipment;1670;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;22;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;0
less than 0;48;no credits taken/all credits paid back duly;furniture/equipment;3979;greater than 1000;from 4 to 7 yrs;less than 20;male : married/widowed;none;less than 1 yr;building soc. savings agr./life insurance;41;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
less than 0;12;no credits taken/all credits paid back duly;car (used);1922;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;37;none;rent;1;unskilled - resident;0 to 2;no;no;0
less than 0;18;all credits at this bank paid back duly;car (used);1295;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;car or other;27;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;4;all credits at this bank paid back duly;furniture/equipment;1544;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;less than 1 yr;unknown / no property;42;none;rent;4.May;unskilled - resident;3 or more;no;no;1
less than 0;8;no credits taken/all credits paid back duly;retraining;907;unknown/no savings account;less than 1 yr;from 25 to 20;female : single;none;from 1 to 4 yrs;unknown / no property;26;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;30;no credits taken/all credits paid back duly;furniture/equipment;1715;greater than 1000;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;26;none;rent;1;skilled employee/official;0 to 2;no;no;1
from 0 to 200;10;all credits at this bank paid back duly;furniture/equipment;1347;greater than 1000;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;27;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;12;no credits taken/all credits paid back duly;others;1007;from 500 to 1000;from 1 to 4 yrs;less than 20;female : single;none;less than 1 yr;unknown / no property;22;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;car (used);1402;from 100 to 500;from 4 to 7 yrs;from 25 to 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;37;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;12;no credits taken/all credits paid back duly;others;2002;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;car or other;30;none;for free;1;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;12;all credits at this bank paid back duly;repairs;2096;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;unknown / no property;49;none;rent;1;unskilled - resident;3 or more;no;no;1
.greater than 200;12;no credits taken/all credits paid back duly;others;1101;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;female : single;none;from 1 to 4 yrs;unknown / no property;27;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;10;no credits taken/all credits paid back duly;vacation;894;greater than 1000;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;car or other;40;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;11;no credits taken/all credits paid back duly;car (used);1577;from 500 to 1000;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;20;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;33;existing credits paid back duly till now;retraining;2764;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;26;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;48;delay in paying off in the past;others;8358;from 100 to 500;less than 1 yr;greater than 35;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;30;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
from 0 to 200;12;no credits taken/all credits paid back duly;car (used);1474;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;car or other;33;bank;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;24;no credits taken/all credits paid back duly;car (new);5433;greater than 1000;unemployed;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;car or other;26;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
less than 0;14;no credits taken/all credits paid back duly;retraining;1410;from 100 to 500;greater than 7 yrs;greater than 35;female : single;none;from 1 to 4 yrs;unknown / no property;35;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;20;all credits at this bank paid back duly;others;3485;greater than 1000;less than 1 yr;from 35 to 25;male : divorced/separated;none;greater than 7 yrs;unknown / no property;44;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;18;all credits at this bank paid back duly;car (new);3850;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;less than 1 yr;building soc. savings agr./life insurance;27;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
less than 0;60;no credits taken/all credits paid back duly;others;7408;less than 100;less than 1 yr;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;car or other;24;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;no;no;0
from 0 to 200;24;no credits taken/all credits paid back duly;furniture/equipment;1377;less than 100;greater than 7 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;real estate;47;none;own;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;30;existing credits paid back duly till now;retraining;4272;less than 100;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;car or other;26;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
less than 0;24;existing credits paid back duly till now;furniture/equipment;1553;less than 100;from 4 to 7 yrs;from 25 to 20;female : non-single or male : single;none;from 1 to 4 yrs;car or other;23;none;for free;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;36;existing credits paid back duly till now;retraining;9857;less than 100;from 4 to 7 yrs;greater than 35;male : married/widowed;none;from 4 to 7 yrs;car or other;31;none;rent;2.Mar;unskilled - resident;3 or more;yes (under customer name);no;1
.greater than 200;6;all credits at this bank paid back duly;others;362;less than 100;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;52;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
.greater than 200;12;all credits at this bank paid back duly;car (used);1935;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;43;none;rent;4.May;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;48;no credits taken/all credits paid back duly;furniture/equipment;10222;greater than 1000;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;37;stores;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
from 0 to 200;12;no credits taken/all credits paid back duly;others;1330;unknown/no savings account;less than 1 yr;less than 20;male : married/widowed;none;less than 1 yr;unknown / no property;26;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;36;no credits taken/all credits paid back duly;repairs;9055;greater than 1000;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;35;none;own;1;unskilled - resident;3 or more;yes (under customer name);no;1
less than 0;26;no credits taken/all credits paid back duly;car (new);7966;unknown/no savings account;less than 1 yr;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;30;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
less than 0;30;critical account/other credits elsewhere;car (used);3496;from 500 to 1000;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;34;stores;rent;1;skilled employee/official;3 or more;yes (under customer name);no;1
less than 0;36;no credits taken/all credits paid back duly;car (new);6948;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;35;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
less than 0;48;delay in paying off in the past;retraining;12204;greater than 1000;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;48;bank;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
no checking account;36;no credits taken/all credits paid back duly;car (used);3446;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;42;none;rent;1;skilled employee/official;3 or more;no;no;0
no checking account;12;no credits taken/all credits paid back duly;repairs;684;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;40;none;for free;1;unskilled - resident;3 or more;no;no;0
no checking account;33;all credits at this bank paid back duly;car (used);4281;from 100 to 500;from 1 to 4 yrs;greater than 35;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;23;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;42;no credits taken/all credits paid back duly;furniture/equipment;7174;greater than 1000;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;30;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;24;critical account/other credits elsewhere;furniture/equipment;1546;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;guarantor;greater than 7 yrs;building soc. savings agr./life insurance;24;bank;for free;1;unskilled - resident;0 to 2;no;no;0
no checking account;24;no credits taken/all credits paid back duly;car (used);2359;less than 100;unemployed;greater than 35;male : divorced/separated;none;less than 1 yr;car or other;33;none;rent;1;skilled employee/official;0 to 2;no;no;0
.greater than 200;24;no credits taken/all credits paid back duly;furniture/equipment;3621;less than 100;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;31;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;0
no checking account;12;no credits taken/all credits paid back duly;radio/television;741;less than 100;unemployed;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;car or other;22;none;rent;1;skilled employee/official;0 to 2;no;no;0
no checking account;12;no credits taken/all credits paid back duly;car (used);7865;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;53;none;own;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;24;no credits taken/all credits paid back duly;car (new);2910;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;less than 1 yr;real estate;34;none;own;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
no checking account;18;all credits at this bank paid back duly;others;5302;unknown/no savings account;greater than 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;36;none;own;4.May;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
no checking account;36;no credits taken/all credits paid back duly;car (used);3620;unknown/no savings account;from 1 to 4 yrs;greater than 35;male : married/widowed;guarantor;from 1 to 4 yrs;car or other;37;none;rent;1;skilled employee/official;3 or more;no;no;1
no checking account;18;no credits taken/all credits paid back duly;furniture/equipment;3509;unknown/no savings account;from 4 to 7 yrs;less than 20;female : non-single or male : single;guarantor;less than 1 yr;unknown / no property;25;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;12;no credits taken/all credits paid back duly;car (used);3017;unknown/no savings account;less than 1 yr;from 25 to 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;34;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;no;no;1
no checking account;12;no credits taken/all credits paid back duly;car (used);1657;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;27;none;rent;1;skilled employee/official;0 to 2;no;no;1
